title,release_date,release_year,release_month,release_quarter,release_era,genre,creative_type,content_rating,source_type,distributor,distributor_grouped,production_budget,domestic_revenue,worldwide_revenue,return_multiple,profitable,international_share,critic_score,audience_score,critic_audience_gap,audience_volume,log_budget,log_worldwide_revenue,log_audience_volume
The Broadway Melody,1928-12-31,1928,12,Q4,pre-1990,Musical,Unknown,Unknown,Original Screenplay,MGM,MGM,379000.0,2800000.0,4358000.0,11.49868073878628,1,0.3575034419458467,38.0,67.0,-29.0,2017.0,12.845291484064564,15.287523794486702,7.6093665379542115
Mata Hari,1930-12-31,1930,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,MGM,MGM,558000.0,900000.0,900000.0,1.6129032258064515,1,0.0,,22.0,,376.0,13.232114241363448,13.710150042306449,5.929589143389895
It Happened One Night,1933-12-31,1933,12,Q4,pre-1990,Romantic Comedy,Unknown,Unknown,Unknown,Unknown,Unknown,325000.0,2500000.0,2500000.0,7.6923076923076925,1,0.0,97.0,83.0,14.0,25074.0,12.691580461311874,14.73180128983843,10.129586731675971
Alexander's Ragtime Band,1937-12-31,1937,12,Q4,pre-1990,Drama,Unknown,Unknown,Original Screenplay,20th Century Fox,20th Century Fox,2000000.0,4000000.0,4000000.0,2.0,1,0.0,,,,,14.508657738524219,15.201804919084164,
You Can't Take It With You,1937-12-31,1937,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1644000.0,4000000.0,4000000.0,2.4330900243309004,1,0.0,96.0,80.0,16.0,8597.0,14.312642854598263,15.201804919084164,9.059168584174444
Mr. Smith Goes To Washington,1938-12-31,1938,12,Q4,pre-1990,Drama,Unknown,Unknown,Original Screenplay,Sony/Columbia,Other,1500000.0,9000000.0,9000000.0,6.0,1,0.0,97.0,82.0,15.0,33315.0,14.22097566607244,16.012735135300492,10.413763024996637
Boom Town,1939-12-31,1939,12,Q4,pre-1990,Unknown,Unknown,Unknown,Original Screenplay,MGM,MGM,2000000.0,9172000.0,9172000.0,4.586,1,0.0,,71.0,,1115.0,14.508657738524219,16.03166592295993,7.016609683894219
Rebecca,1939-12-31,1939,12,Q4,pre-1990,Drama,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,1288000.0,6000000.0,6000000.0,4.658385093167702,1,0.0,100.0,84.0,16.0,35429.0,14.068601185646436,15.60727002719233,10.475285972792834
Casablanca,1941-12-31,1941,12,Q4,pre-1990,Drama,Historical Fiction,Unknown,Based on Play,Warner Bros.,Warner Bros.,950000.0,10462500.0,10462500.0,11.013157894736842,1,0.0,97.0,88.0,9.0,167939.0,13.764217263576723,16.163307993779867,12.031356097212264
Bathing Beauty,1943-12-31,1943,12,Q4,pre-1990,Musical,Unknown,Unknown,Original Screenplay,MGM,MGM,2361000.0,3500000.0,3500000.0,1.4824227022448115,1,0.0,,62.0,,487.0,14.67459581606765,15.068273526459642,6.18826412308259
The Valley of Decision,1944-12-31,1944,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2160000.0,9132000.0,9132000.0,4.227777777777778,1,0.0,,73.0,,682.0,14.585618779660347,16.027295286631823,6.525029657843462
Spellbound,1944-12-31,1944,12,Q4,pre-1990,Unknown,Unknown,G,Unknown,ThinkFilm,Other,1500000.0,7000000.0,7000000.0,4.666666666666667,1,0.0,87.0,77.0,10.0,14665.0,14.22097566607244,15.761420707019587,9.593218981411551
The Lost Weekend,1944-12-31,1944,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1250000.0,11000000.0,11000000.0,8.8,1,0.0,100.0,82.0,18.0,11864.0,14.038654109278484,16.213405830762646,9.381263883817768
Notorious,1945-12-31,1945,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000000.0,24464742.0,24464742.0,12.232371,1,0.0,97.0,63.0,34.0,9811.0,14.508657738524219,17.012743536972255,9.19125948416339
It's a Wonderful Life,1945-12-31,1945,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3180000.0,6600000.0,6600000.0,2.0754716981132075,1,0.0,94.0,87.0,7.0,101499.0,14.972391754756359,15.702580206996654,11.527804225198697
Gentleman's Agreement,1946-12-31,1946,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000000.0,7800000.0,7800000.0,3.9,1,0.0,83.0,74.0,9.0,4637.0,14.508657738524219,15.86963429165982,8.441822884391462
The Pirate,1947-12-31,1947,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3700000.0,2956000.0,2956000.0,0.798918918918919,0,0.0,71.0,71.0,0.0,1635.0,15.123843377614453,14.899347561050229,7.399398083331354
Red River,1947-12-31,1947,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000000.0,9012000.0,9012000.0,3.004,1,0.0,100.0,78.0,22.0,10629.0,14.914122846632385,16.014067580534274,9.271341393533582
Sands of Iwo Jima,1948-12-31,1948,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000000.0,7800000.0,7800000.0,7.8,1,0.0,100.0,71.0,29.0,4160.0,13.815510557964274,15.86963429165982,8.333270353255308
She Wore a Yellow Ribbon,1948-12-31,1948,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1600000.0,5400000.0,5400000.0,3.375,1,0.0,100.0,73.0,27.0,5825.0,14.28551418721001,15.501909511534503,8.669914278433902
Cinderella,1950-02-15,1950,2,Q1,pre-1990,Drama,Fantasy,Unknown,Traditional/Legend/Fairytale,Walt Disney Pictures,Walt Disney Pictures,2900000.0,85000000.0,85000000.0,29.310344827586206,1,0.0,92.0,51.0,41.0,373.0,14.880221294956703,18.258161814454592,5.921578419643816
